r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
6,21,0.18724848762735152,0.0,1.0,-1.0,-1.0,1.0,2.0
3,25,0.1872484876273515,0.0,1.0,-1.0,-1.0,1.0,2.0
14,22,0.1872484876273515,0.0,1.0,1.0,1.0,1.0,2.0
3,23,0.18724848762735147,0.0,1.0,1.0,1.0,1.0,2.0
6,25,0.18724848762735147,0.0,1.0,-1.0,-1.0,1.0,2.0
14,21,0.18724848762735147,0.0,-1.0,-1.0,1.0,1.0,2.0
18,20,0.18724848762735147,0.0,-1.0,1.0,-1.0,1.0,2.0
18,22,0.18724848762735144,0.0,-1.0,-1.0,1.0,1.0,2.0
10,20,0.1872484876273514,0.0,1.0,1.0,1.0,1.0,2.0
10,24,0.1872484876273514,0.0,1.0,-1.0,-1.0,1.0,2.0
20,23,0.17237334648179994,0.16666666666666663,-1.0,1.0,-1.0,2.0,2.0
21,23,0.17237334648179992,0.16666666666666663,-1.0,-1.0,1.0,2.0,2.0
24,25,0.17237334648179992,0.16666666666666663,1.0,-1.0,-1.0,2.0,2.0
22,25,0.17237334648179986,0.16666666666666663,-1.0,1.0,-1.0,2.0,2.0
22,24,0.17237334648179978,0.16666666666666663,-1.0,-1.0,1.0,2.0,2.0
20,21,0.17237334648179975,0.16666666666666663,1.0,-1.0,-1.0,2.0,2.0
3,5,1.2026910385769488e-15,0.0,-1.0,1.0,-1.0,1.0,1.0
3,7,1.191348876251964e-15,0.0,1.0,-1.0,-1.0,1.0,1.0
8,17,1.1516264382584917e-15,0.0,-1.0,-1.0,1.0,1.0,1.0
8,18,1.1129680852176213e-15,0.0,-1.0,-1.0,1.0,1.0,1.0
0,10,1.1070187281636886e-15,0.0,-1.0,1.0,-1.0,1.0,1.0
10,17,1.1052420055456458e-15,0.0,-1.0,1.0,-1.0,1.0,1.0
3,15,1.0936036313062562e-15,0.0,1.0,-1.0,-1.0,1.0,1.0
4,5,1.0456144000577395e-15,0.0,1.0,-1.0,-1.0,1.0,1.0
1,7,1.0372338341974825e-15,0.0,-1.0,-1.0,1.0,1.0,1.0
1,17,1.025995231068667e-15,0.0,-1.0,-1.0,1.0,1.0,1.0
3,8,9.903169305903808e-16,0.0,-1.0,-1.0,1.0,1.0,1.0
2,7,9.87742732654091e-16,0.0,-1.0,-1.0,1.0,1.0,1.0
2,9,9.824075536448006e-16,0.0,1.0,-1.0,-1.0,1.0,1.0
3,10,9.710080704249193e-16,0.0,-1.0,1.0,-1.0,1.0,1.0
1,12,9.664878155254242e-16,0.0,1.0,1.0,1.0,1.0,1.0
10,14,9.663106537424163e-16,0.0,1.0,1.0,1.0,1.0,1.0
5,18,9.637948588435332e-16,0.0,1.0,1.0,1.0,1.0,1.0
