generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
73,23,1320,844,death,40,35.99999999999977,1.0014136727533087,1.8281057563953187,exact_hop
74,23,2342,2316,genericity,9,33.999999999999545,1.000882652539965,2.007547092752328,off_manifold_hop
74,23,1796,970,deletion,26,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
74,23,1320,844,death,41,35.99999999999966,1.0014136727533087,1.828105756395319,exact_hop
75,23,2342,2316,genericity,10,33.999999999999545,1.000882652539965,2.007547092752328,off_manifold_hop
75,23,2636,1796,deletion,1,35.99999999999977,0.5733955550022423,2.383621312920412,off_manifold_hop
75,23,2641,1320,death,1,35.99999999999966,1.0015145613841718,1.822156438679072,exact_hop
75,23,567,78,explore,21,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
76,23,2342,2316,genericity,11,33.999999999999545,1.000882652539965,2.007547092752328,off_manifold_hop
76,23,2636,1796,deletion,2,35.99999999999966,0.5733955550022423,2.3836213129204147,off_manifold_hop
76,23,2641,1320,death,2,35.99999999999966,1.0015145613841718,1.822156438679074,exact_hop
77,23,2690,2342,genericity,1,33.999999999999545,1.0083583730407153,2.232835552147843,off_manifold_hop
77,23,2636,1796,deletion,3,35.99999999999977,0.5733955550022423,2.3836213129204156,off_manifold_hop
77,23,2641,1320,death,3,35.99999999999966,1.0015145613841718,1.822156438679074,exact_hop
78,23,2714,2690,genericity,1,33.99999999999932,1.0138599855187833,2.3712532168348543,off_manifold_hop
78,23,2636,1796,deletion,4,35.99999999999977,0.5733955550022423,2.383621312920411,off_manifold_hop
78,23,2641,1320,death,4,35.99999999999966,1.0015145613841718,1.822156438679074,exact_hop
78,23,567,78,explore,22,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
79,23,2742,2714,genericity,1,33.99999999999966,1.0042019806214453,1.977211850767536,exact_hop
79,23,2636,1796,deletion,5,35.99999999999977,0.5733955550022423,2.3836213129204165,off_manifold_hop
79,23,2641,1320,death,5,35.99999999999966,1.0015145613841718,1.822156438679074,exact_hop
80,23,2793,2742,genericity,1,33.99999999999909,1.0029581785609751,2.307080322595016,off_manifold_hop
80,23,2636,1796,deletion,6,35.99999999999977,0.5733955550022423,2.3836213129204142,off_manifold_hop
80,23,2641,1320,death,6,35.99999999999966,1.0015145613841718,1.822156438679074,exact_hop
